open,high,low,close,volume,trades
1.262,1.262,1.21987,1.25767,50479.17181621,363
1.25418,1.26102,1.20921,1.2093,421349.6335265302,1800
1.22529,1.23034,1.21296,1.21586,55055.32036383,197
1.21553,1.23589,1.20456,1.22904,74545.62373861,383
1.22785,1.26646,1.18527,1.22169,230405.49641892,901
1.22176,1.22271,1.188,1.19982,84591.7367260299,319
1.20177,1.20197,1.128,1.1575,181464.1367580298,423
1.1638,1.17542,1.13681,1.14018,226565.0339601298,620
1.14699,1.21994,1.12359,1.15347,353534.1495727205,876
1.15399,1.1602,1.14301,1.15844,63496.3682703,159
1.15806,1.15961,1.14193,1.14639,84283.799528,248
1.14896,1.15572,1.08938,1.14156,167726.7760893902,483
1.154,1.1704,1.14667,1.16991,51220.9783824,140
1.16971,1.18318,1.1424,1.17925,499370.9987127584,946
1.17705,1.21547,1.17494,1.21475,54531.8086525,115
1.21347,1.23789,1.21056,1.23351,23669.47248,201
1.23318,1.23575,1.22001,1.23523,37905.0223853,125
1.23058,1.23526,1.225,1.22985,59590.19973642,94
1.22956,1.23734,1.21744,1.23046,84564.5194816999,241
1.22565,1.2395,1.22112,1.23746,17175.69459957,41
1.23386,1.2408,1.22587,1.2356,32409.67874461,71
1.23355,1.26,1.20066,1.23334,118711.62508095,231
1.23165,1.23375,1.21409,1.2199,54729.72945413,163
1.21888,1.22355,1.21747,1.2183,9955.62415013,39
1.22106,1.22106,1.21509,1.2159,2855.0989,16
1.21896,1.22796,1.21215,1.21767,53105.58565614,158
1.21917,1.23041,1.21516,1.22704,48414.61603204,153
1.22666,1.2337,1.21337,1.23216,21685.19728,105
1.23336,1.24193,1.23095,1.2395,30194.45997543,117
1.23949,1.24288,1.23472,1.24068,49955.79735813,137
1.23995,1.24017,1.23445,1.23463,4855.08529999,20
1.2378,1.23955,1.23344,1.23857,14528.5106,50
1.23741,1.24761,1.23649,1.24214,53290.17320891,171
1.24635,1.25954,1.23368,1.253,54449.90533997,293
1.2494,1.275,1.22295,1.22886,152274.18256519,613
1.2381,1.25061,1.17877,1.24339,52756.31302092,253
1.24022,1.24866,1.23765,1.24571,46348.14646254,124
1.24578,1.24578,1.23869,1.24098,9158.25251762,59
1.24032,1.24802,1.23938,1.24243,59662.85199507,167
1.23839,1.24382,1.22564,1.23615,58451.29687839,232
1.23907,1.24171,1.21529,1.22173,40691.49428861,107
